0,itd,cocktail_wav48_itd/3_distractors/p302/p302_031.wav,836284,it has been blown out of all proportion,blow out of proportion in the morning,9.059906005859375e-06
1,itd,cocktail_wav48_itd/6_distractors/p277/p277_283.wav,1057312,who did the recruiting,I could not believe that they had run away,1.0967254638671875e-05
2,hrtf,cocktail_wav48_hrtf/6_distractors/p237/p237_055.wav,1033132,life is good,at the end of the day I was obsessed at working in the theatre ,6.9141387939453125e-06
3,ild,cocktail_wav48_ild/5_distractors/p304/p304_316.wav,1098380,david trimble has sold out,we will look at managment across the sector as a whole,7.152557373046875e-06
4,ild,cocktail_wav48_ild/0_distractors/p302/p302_162.wav,623012,the red card was okay,the red card was okay,6.9141387939453125e-06
5,ild,cocktail_wav48_ild/4_distractors/p286/p286_456.wav,1319744,they were good years for him,we will call wednesday the train station,9.298324584960938e-06
6,hrtf,cocktail_wav48_hrtf/3_distractors/p283/p283_076.wav,1229772,he is a young man with a new deal,he is a young man with a new tier ,6.198883056640625e-06
7,hrtf,cocktail_wav48_hrtf/5_distractors/p237/p237_060.wav,1278884,new york is expected to come to a standstill,"do you watch justice number, acknowledge that prisioner numbers were a concern",6.9141387939453125e-06
8,itd,cocktail_wav48_itd/5_distractors/p279/p279_053.wav,680200,it_s a blessing,attitudes ,1.3113021850585938e-05
9,hrtf,cocktail_wav48_hrtf/3_distractors/p279/p279_102.wav,1196220,however we have not come to any conclusions,he's delighted too ,7.152557373046875e-06
10,ild,cocktail_wav48_ild/1_distractors/p304/p304_386.wav,581792,many other areas are coming up,many other areas are coming up,5.9604644775390625e-06
11,ild,cocktail_wav48_ild/5_distractors/p286/p286_146.wav,893480,he will get his chances,he will get distracted,7.152557373046875e-06
12,hrtf,cocktail_wav48_hrtf/2_distractors/p237/p237_334.wav,860704,i saw some good things,is there a way to taste,1.5020370483398438e-05
13,itd,cocktail_wav48_itd/0_distractors/p277/p277_343.wav,664368,both of those promises have already been honoured,both of those promises have already been honored ,6.9141387939453125e-06
14,hrtf,cocktail_wav48_hrtf/2_distractors/p229/p229_252.wav,770184,manager bobby williamson has no injury worries,manager Williams has no injury worries ,5.9604644775390625e-06
15,itd,cocktail_wav48_itd/1_distractors/p279/p279_023.wav,1827848,if the red of the second bow falls upon the green of the first the result is to give a bow with an abnormally wide yellow band since red and green light when mixed form yellow,is the red bow falls on the green..... since red and green were mixed to form yellow,8.106231689453125e-06
16,hrtf,cocktail_wav48_hrtf/1_distractors/p229/p229_004.wav,934264,we also need a small plastic snake and a big toy frog for the kids,we also need a small plastic snake and a big toy frog for the kids,6.9141387939453125e-06
17,ild,cocktail_wav48_ild/4_distractors/p283/p283_448.wav,844188,sentiment was helped by the sharp fall in debt,by the sharp fallen death,7.152557373046875e-06
18,hrtf,cocktail_wav48_hrtf/6_distractors/p237/p237_214.wav,1033132,there was an email,several other countries are obsessed with working in the format,6.9141387939453125e-06
19,ild,cocktail_wav48_ild/2_distractors/p286/p286_105.wav,770240,the outsourcing deal will take effect in september,the outsocie deal will take effect in september ,6.9141387939453125e-06
20,hrtf,cocktail_wav48_hrtf/1_distractors/p274/p274_209.wav,598396,we have an election in eight days,we have an election in eight days ,5.0067901611328125e-06
21,itd,cocktail_wav48_itd/4_distractors/p277/p277_084.wav,860744,the guidelines are expected to be finalised before next spring,spreading lies before next spring,5.9604644775390625e-06
22,itd,cocktail_wav48_itd/5_distractors/p279/p279_145.wav,1450932,that could mean the difference between life and death in action,said to be affect of a super imposition of a number of bows ,6.9141387939453125e-06
23,itd,cocktail_wav48_itd/5_distractors/p277/p277_373.wav,1827464,he_s delighted too with the new premises,I was relased after six days,7.867813110351562e-06
24,hrtf,cocktail_wav48_hrtf/2_distractors/p274/p274_313.wav,655460,the weather will be unpredictable if anything,the wet field will be unpredicatble if anything,9.059906005859375e-06
25,hrtf,cocktail_wav48_hrtf/4_distractors/p229/p229_189.wav,598536,the hotel was now for sale,,5.9604644775390625e-06
26,ild,cocktail_wav48_ild/5_distractors/p304/p304_069.wav,918464,we have avoided that at least,we will go meet her wednesday at the train station,1.5020370483398438e-05
27,hrtf,cocktail_wav48_hrtf/4_distractors/p237/p237_123.wav,1647472,an announcement on his replacement is expected within three weeks,take the shape of a half high above with its end beyond the horizon ,6.9141387939453125e-06
28,ild,cocktail_wav48_ild/2_distractors/p304/p304_290.wav,877104,he is keen to stay in public service,he is here stay at public service,7.152557373046875e-06
29,itd,cocktail_wav48_itd/4_distractors/p277/p277_119.wav,959084,naturally it was not difficult to find support for these proposals,no toher vehicle was involved in the crash,9.059906005859375e-06
30,itd,cocktail_wav48_itd/2_distractors/p277/p277_287.wav,1212608,there_s a pause,theres another important factor,5.7220458984375e-06
31,itd,cocktail_wav48_itd/3_distractors/p302/p302_071.wav,811484,there is no sign of anyone being hurt,the guide lines should be finalized before next spring,6.9141387939453125e-06
32,itd,cocktail_wav48_itd/5_distractors/p277/p277_173.wav,1204956,it_s too early to say whether a public inquiry would be appropriate,its too early to say ,6.9141387939453125e-06
33,ild,cocktail_wav48_ild/0_distractors/p304/p304_341.wav,655892,there were many positives for this club,there are many pauses for this club,7.152557373046875e-06
34,itd,cocktail_wav48_itd/5_distractors/p283/p283_453.wav,934828,i was embarrassed by it,i acquire spiders ,7.867813110351562e-06
35,ild,cocktail_wav48_ild/5_distractors/p306/p306_305.wav,1106224,people can get them if they want,i spent a lot of time on busses ,4.76837158203125e-06
36,hrtf,cocktail_wav48_hrtf/0_distractors/p229/p229_193.wav,410392,we knew nothing about it,we knew nothing about it ,6.198883056640625e-06
37,itd,cocktail_wav48_itd/0_distractors/p277/p277_096.wav,418420,they lived for their children,they live for their children,5.9604644775390625e-06
38,ild,cocktail_wav48_ild/0_distractors/p302/p302_161.wav,802916,he will make an excellent chief inspector,he will make an excellent chief inspector ,6.9141387939453125e-06
39,itd,cocktail_wav48_itd/2_distractors/p279/p279_306.wav,1401396,alex smith has been a massive influence on my career as well,she could scoop these things into three red bags and we will go meet her Wednesday at the train station ,7.152557373046875e-06
40,ild,cocktail_wav48_ild/4_distractors/p286/p286_285.wav,1024596,these figures are truly terrible,these figures are truely terrible ,6.9141387939453125e-06
41,ild,cocktail_wav48_ild/3_distractors/p304/p304_086.wav,1753648,i have a theory,I have a theory ,7.152557373046875e-06
42,itd,cocktail_wav48_itd/3_distractors/p286/p286_213.wav,680488,we_ve had an enjoyable adventure,juice,7.152557373046875e-06
43,hrtf,cocktail_wav48_hrtf/4_distractors/p237/p237_247.wav,762316,it is not the message alone,we also need a small plastic snake and a big toy frog for the kids ,9.059906005859375e-06
44,ild,cocktail_wav48_ild/0_distractors/p304/p304_140.wav,647924,and yet his legacy is doubtful,and yet his legacy is diteful,5.9604644775390625e-06
45,itd,cocktail_wav48_itd/3_distractors/p302/p302_200.wav,983128,they had not been handcuffed,was available for comment yesterday ,7.152557373046875e-06
46,hrtf,cocktail_wav48_hrtf/0_distractors/p277/p277_064.wav,328040,that_s the truth,that's the truth,7.152557373046875e-06
47,itd,cocktail_wav48_itd/3_distractors/p286/p286_078.wav,893336,talk of a crisis is absurd,talking of crisis is absurd ,5.9604644775390625e-06
48,ild,cocktail_wav48_ild/2_distractors/p302/p302_217.wav,827852,it used to bother me sometimes but it doesn_t any more,after that time the market sales prices ,8.106231689453125e-06
49,hrtf,cocktail_wav48_hrtf/4_distractors/p237/p237_091.wav,664036,today i couldn_t run on it,was taken by police ,6.9141387939453125e-06
50,hrtf,cocktail_wav48_hrtf/0_distractors/p237/p237_139.wav,975456,the scottish socialist party is also expected to attend,the Scottish socialist party is also expected to attend ,5.7220458984375e-06
51,hrtf,cocktail_wav48_hrtf/6_distractors/p229/p229_257.wav,1106672,he was my big brother my father my grandfather,my father and my grandfather ,8.106231689453125e-06
52,itd,cocktail_wav48_itd/4_distractors/p283/p283_098.wav,1622500,little is known about them,with little or no green or blue,7.867813110351562e-06
53,hrtf,cocktail_wav48_hrtf/3_distractors/p274/p274_367.wav,918296,he had no previous convictions,big issues whether it can be inforced ,1.0013580322265625e-05
54,itd,cocktail_wav48_itd/6_distractors/p277/p277_459.wav,803240,she also defended the lord chancellor_s existing powers,broken record ,1.1920928955078125e-05
55,hrtf,cocktail_wav48_hrtf/2_distractors/p229/p229_072.wav,639996,she died in hospital two hours later,tourism is a vital industry for Scottland,6.9141387939453125e-06
56,itd,cocktail_wav48_itd/6_distractors/p279/p279_103.wav,802996,after that time the market itself will set the prices,ages ,5.0067901611328125e-06
57,itd,cocktail_wav48_itd/2_distractors/p277/p277_018.wav,1221492,aristotle thought that the rainbow was caused by reflection of the sun_s rays by the rain,a rainbow is caused by a reflection by the suns rays by the rain ,6.9141387939453125e-06
58,ild,cocktail_wav48_ild/2_distractors/p302/p302_176.wav,901580,it should have a health warning  it is addictive,it should have a health warning it's addictive ,6.198883056640625e-06
59,hrtf,cocktail_wav48_hrtf/3_distractors/p277/p277_233.wav,1033180,a thousand years ago the church was a powerful force in europe,the church was a powerful force in the UK,7.867813110351562e-06
60,hrtf,cocktail_wav48_hrtf/5_distractors/p229/p229_032.wav,950844,because we do not need it,but she has siad the queen is deeply saddened ,6.9141387939453125e-06
61,ild,cocktail_wav48_ild/6_distractors/p286/p286_044.wav,1303460,her body was found about four miles from the car,his body was found about for miles from the car,5.9604644775390625e-06
62,hrtf,cocktail_wav48_hrtf/5_distractors/p229/p229_182.wav,1098188,it is a memorial,deeply concerned by the ruin,7.152557373046875e-06
63,ild,cocktail_wav48_ild/6_distractors/p302/p302_288.wav,967656,they came into collision with sergio,case and point,6.9141387939453125e-06
64,itd,cocktail_wav48_itd/1_distractors/p286/p286_243.wav,1507660,i have spoken to the skipper,I've spoken to the skipper ,1.0013580322265625e-05
65,itd,cocktail_wav48_itd/1_distractors/p283/p283_432.wav,533492,he is on the wrong side,I dont want to use it,6.9141387939453125e-06
66,ild,cocktail_wav48_ild/5_distractors/p306/p306_068.wav,1007896,how things have changed since then,his injury,7.3909759521484375e-06
67,hrtf,cocktail_wav48_hrtf/5_distractors/p229/p229_282.wav,918516,they were on holiday in egypt,no fibergate tool was available for comment yesterday ,7.152557373046875e-06
68,hrtf,cocktail_wav48_hrtf/6_distractors/p229/p229_324.wav,1721268,we are very strongly behind the bid,the width of the colored band increases as the size of the drops increases,6.9141387939453125e-06
69,ild,cocktail_wav48_ild/1_distractors/p306/p306_235.wav,541648,everyone could see it apart from kevin keegan,Millow is every bit as happy,9.298324584960938e-06
70,hrtf,cocktail_wav48_hrtf/6_distractors/p225/p225_027.wav,1169500,so is that it then,it is the only cannabis of its kind in the UK,7.867813110351562e-06
71,ild,cocktail_wav48_ild/6_distractors/p304/p304_403.wav,1622500,just get on with your job,just get on with your job,5.0067901611328125e-06
72,hrtf,cocktail_wav48_hrtf/0_distractors/p237/p237_040.wav,459592,it_s a great thing,it's a great thing,7.152557373046875e-06
73,ild,cocktail_wav48_ild/3_distractors/p304/p304_366.wav,1172400,we talk about effective military action,we talked about effective military action,8.821487426757812e-06
74,itd,cocktail_wav48_itd/0_distractors/p279/p279_051.wav,853020,failure to comply with the order is likely to result in prison,failures to comply with order is likely to result in prison,5.7220458984375e-06
75,itd,cocktail_wav48_itd/2_distractors/p283/p283_088.wav,689180,it makes for an interesting conference,its makes brain interesting conference ,8.344650268554688e-06
76,itd,cocktail_wav48_itd/2_distractors/p277/p277_397.wav,663932,it will take place in july,it will take a final incentive to switch,6.9141387939453125e-06
77,ild,cocktail_wav48_ild/6_distractors/p304/p304_147.wav,1303524,they were due to have begun today,three red bags and we will go meet her wednesday at the train station,6.9141387939453125e-06
78,hrtf,cocktail_wav48_hrtf/1_distractors/p274/p274_207.wav,1704552,it was worth a photograph,after day one back he may be revising the opinion already ,6.9141387939453125e-06
79,hrtf,cocktail_wav48_hrtf/3_distractors/p229/p229_388.wav,942480,it has been a lovely family occasion,he was a fine ,6.9141387939453125e-06
