0,hrtf,cocktail_wav48_hrtf/2_distractors/p229/p229_164.wav,713592,i knew he was good,you may have a short memory,9.298324584960938e-06
1,ild,cocktail_wav48_ild/3_distractors/p283/p283_154.wav,909584,five minutes later the home team were back in front,Five minutes later the whole team went back in front,7.152557373046875e-06
2,hrtf,cocktail_wav48_hrtf/2_distractors/p229/p229_361.wav,721852,they say that vital evidence was not heard in court,They say that vital evidence was not heard in court,6.9141387939453125e-06
3,hrtf,cocktail_wav48_hrtf/6_distractors/p225/p225_349.wav,2319404,how do you take them away,,6.604194641113281e-05
4,itd,cocktail_wav48_itd/3_distractors/p279/p279_321.wav,828032,but no such amendment has been brought before the scottish parliament,naturally it is not suppossed,7.152557373046875e-06
5,hrtf,cocktail_wav48_hrtf/1_distractors/p277/p277_156.wav,877180,the departure of mr johnston was reported by the herald yesterday,The departure of Mr Johnson was reported by herold yesterday,8.106231689453125e-06
6,hrtf,cocktail_wav48_hrtf/3_distractors/p237/p237_012.wav,1016724,throughout the centuries people have explained the rainbow in various ways,He was said to be resistant to stay,6.9141387939453125e-06
7,hrtf,cocktail_wav48_hrtf/0_distractors/p237/p237_122.wav,689140,it is a delight on every level,It is a delight on every level,5.0067901611328125e-06
8,hrtf,cocktail_wav48_hrtf/1_distractors/p229/p229_346.wav,581728,indeed it was magical,Indeed it was magical,5.9604644775390625e-06
9,hrtf,cocktail_wav48_hrtf/2_distractors/p225/p225_322.wav,942492,funding for the science centre has come from a number of sources,George is going to a short visit in england,5.9604644775390625e-06
10,itd,cocktail_wav48_itd/5_distractors/p283/p283_188.wav,1229648,next year it plans to open an office in tokyo,,3.504753112792969e-05
11,itd,cocktail_wav48_itd/4_distractors/p274/p274_375.wav,1352192,from our point of view the player is free to leave,"In hockey,  the player is free to leave",7.152557373046875e-06
12,hrtf,cocktail_wav48_hrtf/4_distractors/p274/p274_157.wav,1204372,they should stop the bombing,,5.9604644775390625e-06
13,ild,cocktail_wav48_ild/4_distractors/p302/p302_260.wav,901328,i started on a fire a couple of times,The could be a way back,8.106231689453125e-06
